Lam	Flam
3000.000000	13.044158226617
3000.150004	13.043806872098
3000.300015	13.043044317497
3000.450034	13.042195718358
3000.600060	13.041340928820
3000.750094	13.040486174548
3000.900135	13.039634281709
3001.050184	13.038797253273
3001.200240	13.037987372802
3001.350304	13.037195409025
3001.500375	13.036407644175
3001.650454	13.035620183309
3001.800540	13.034832692487
3001.950634	13.034045168944
3002.100735	13.033257623888
3002.250844	13.032470087010
3002.400960	13.031682621942
3002.551084	13.030895355670
3002.701215	13.030108506510
3002.851354	13.029322402554
3003.001501	13.028537450309
3003.151654	13.027754031895
3003.301816	13.026972316939
3003.451985	13.026192053094
3003.602161	13.025412448848
3003.752345	13.024632320125
3003.902536	13.023850642830
3004.052735	13.023067659123
3004.202941	13.022286747386
3004.353155	13.021517490505
3004.503377	13.020780456672
3004.653606	13.020113638474
3004.803842	13.019578572528
3004.954086	13.019261025725
3005.104337	13.019258562296
3005.254596	13.019648808720
3005.404863	13.020441005846
3005.555137	13.021527923191
3005.705418	13.022667118751
3005.855707	13.023517321624
3006.006004	13.023731980330
3006.156308	13.023077496207
3006.306620	13.021521383638
3006.456939	13.019245005573
3006.607265	13.016573984148
3006.757599	13.013862758448
3006.907941	13.011388916804
3007.058290	13.009298812063
3007.208647	13.007612323128
3007.359011	13.006265849887
3007.509383	13.005163412716
3007.659762	13.004214317355
3007.810149	13.003350817127
3007.960543	13.002530131616
3008.110945	13.001728740375
3008.261354	13.000935206259
3008.411771	13.000144561354
3008.562195	12.999354867181
3008.712627	12.998565439482
3008.863067	12.997776060172
3009.013514	12.996986664747
3009.163968	12.996197236529
3009.314430	12.995407770425
3009.464899	12.994618265836
3009.615376	12.993828721769
3009.765861	12.993039138676
3009.916353	12.992249515870
3010.066853	12.991459853923
3010.217360	12.990670152202
3010.367874	12.989880411307
3010.518396	12.989090630647
3010.668926	12.988300849725
3010.819463	12.987512337816
3010.970008	12.986737075623
3011.120560	12.986008403177
3011.271120	12.985338393118
3011.421687	12.984695052313
3011.572262	12.984055964535
3011.722845	12.983417072575
3011.873435	12.982778151253
3012.024032	12.982139197736
3012.174637	12.981500212519
3012.325249	12.980861195105
3012.475870	12.980222145987
3012.626497	12.979583064672
3012.777132	12.978943951655
3012.927775	12.978304806448
3013.078425	12.977665629556
3013.229083	12.977026420499
3013.379748	12.976387179790
3013.530421	12.975747906951
3013.681101	12.975108602482
3013.831789	12.974469265868
3013.982484	12.973829897561
3014.133187	12.973190497005
3014.283897	12.972551064650
3014.434615	12.971911600023
3014.585341	12.971272103780
3014.736074	12.970632575811
3014.886814	12.969993017307
3015.037563	12.969353428824
3015.188318	12.968713812190
3015.339081	12.968074168248
3015.489852	12.967434498358
3015.640630	12.966794801955
3015.791416	12.966155078650
3015.942210	12.965515327868
3016.093010	12.964875555092
3016.243819	12.964235777664
3016.394635	12.963596038039
3016.545458	12.962956414067
3016.696289	12.962317027798
3016.847128	12.961678034040
3016.997974	12.961039585050
3017.148828	12.960401760402
3017.299689	12.959764486387
3017.450558	12.959127476352
3017.601434	12.958490246999
3017.752318	12.957852227021
3017.903209	12.957212939507
3018.054108	12.956572174134
3018.205015	12.955930070710
3018.355929	12.955287062677
3018.506850	12.954643717416
3018.657779	12.954000547062
3018.808716	12.953357880779
3018.959660	12.952715829134
3019.110612	12.952074333029
3019.261571	12.951433243645
3019.412538	12.950792398558
3019.563513	12.950151664954
3019.714494	12.949510957669
3019.865484	12.948870233976
3020.016481	12.948229483194
3020.167486	12.947588710047
3020.318498	12.946947923848
3020.469517	12.946307128111
3020.620545	12.945666318824
3020.771580	12.945025363539
3020.922622	12.944381721539
3021.073672	12.943719401668
3021.224729	12.943011073569
3021.375794	12.942261774096
3021.526867	12.941499336541
3021.677947	12.940735429492
3021.829035	12.939971477615
3021.980130	12.939207539655
3022.131233	12.938443614894
3022.282343	12.937679687273
3022.433461	12.936915727246
3022.584586	12.936151694598
3022.735719	12.935387551727
3022.886860	12.934623274072
3023.038008	12.933858861235
3023.189164	12.933094334761
3023.340327	12.932329731939
3023.491498	12.931565090530
3023.642676	12.930800440024
3023.793862	12.930035794061
3023.945055	12.929271153969
3024.096257	12.928506511371
3024.247465	12.927741856107
3024.398681	12.926977177764
3024.549905	12.926212469796
3024.701136	12.925447727240
3024.852375	12.924682948419
3025.003621	12.923918131735
3025.154875	12.923153277434
3025.306137	12.922388384825
3025.457406	12.921623454480
3025.608683	12.920858485771
3025.759967	12.920093479254
3025.911259	12.919328434282
3026.062558	12.918563351414
3026.213865	12.917798230026
3026.365179	12.917033070696
3026.516501	12.916267872819
3026.667831	12.915502637003
3026.819168	12.914737362717
3026.970513	12.913972050823
3027.121865	12.913206701669
3027.273225	12.912441318889
3027.424593	12.911675910724
3027.575968	12.910910501025
3027.727350	12.910145144258
3027.878740	12.909379957735
3028.030138	12.908615160447
3028.181543	12.907851114631
3028.332956	12.907088328481
3028.484377	12.906327383007
3028.635805	12.905568737588
3028.787240	12.904812440879
3028.938683	12.904057841991
3029.090134	12.903303484720
3029.241592	12.902547328157
3029.393058	12.901787311766
3029.544532	12.901022058187
3029.696013	12.900251396271
3029.847501	12.899476425952
3029.998998	12.898699099045
3030.150501	12.897921526220
3030.302013	12.897145352727
3030.453531	12.896371437524
3030.605058	12.895599889158
3030.756592	12.894830327461
3030.908134	12.894062455519
3031.059683	12.893299321355
3031.211240	12.892554741187
3031.362804	12.891840491739
3031.514376	12.891144469567
3031.665955	12.890452355479
3031.817542	12.889760508730
3031.969137	12.889068638348
3032.120739	12.888376735426
3032.272349	12.887684798151
3032.423967	12.886992826717
3032.575592	12.886300820519
3032.727224	12.885608780123
3032.878864	12.884916705048
3033.030512	12.884224595897
3033.182167	12.883532452193
3033.333830	12.882840274539
3033.485501	12.882148062493
3033.637179	12.881455816766
3033.788864	12.880763537072
3033.940558	12.880071224256
3034.092258	12.879378878036
3034.243967	12.878686499277
3034.395683	12.877994088581
3034.547406	12.877301650949
3034.699138	12.876609199572
3034.850876	12.875916770161
3035.002623	12.875224439635
3035.154377	12.874532357675
3035.306138	12.873840774139
3035.457907	12.873150049565
3035.609684	12.872460607097
3035.761468	12.871772805807
3035.913260	12.871086732564
3036.065060	12.870401988295
3036.216867	12.869717582744
3036.368681	12.869032064551
3036.520503	12.868343902384
3036.672333	12.867652000718
3036.824171	12.866956108321
3036.976016	12.866256918526
3037.127868	12.865555799953
3037.279728	12.864854307031
3037.431596	12.864153701813
3037.583472	12.863454689519
3037.735355	12.862757410813
3037.887245	12.862061618929
3038.039143	12.861366901823
3038.191049	12.860672857515
3038.342962	12.859979178240
3038.494883	12.859285667317
3038.646812	12.858592214245
3038.798748	12.857898765390
3038.950692	12.857205296335
3039.102643	12.856511798129
3039.254602	12.855818266770
3039.406569	12.855124701635
3039.558543	12.854431101810
3039.710524	12.853737467745
3039.862514	12.853043798889
3040.014511	12.852350095803
3040.166515	12.851656357955
3040.318527	12.850962585866
3040.470547	12.850268778941
3040.622574	12.849574937653
3040.774609	12.848881061433
3040.926652	12.848187170840
3041.078702	12.847493841935
3041.230760	12.846805985199
3041.382825	12.846135744371
3041.534898	12.845485815859
3041.686979	12.844844325866
3041.839067	12.844204044347
3041.991162	12.843563790362
3042.143266	12.842923506610
3042.295377	12.842283195716
3042.447495	12.841642867059
3042.599622	12.841002540657
3042.751755	12.840362260527
3042.903897	12.839722109525
3043.056046	12.839082230445
3043.208202	12.838442835253
3043.360367	12.837804192847
3043.512538	12.837166567895
3043.664718	12.836530111496
3043.816905	12.835894718606
3043.969100	12.835259920452
3044.121302	12.834624883029
3044.273512	12.833988571200
3044.425729	12.833350045525
3044.577954	12.832708787267
3044.730187	12.832064892629
3044.882427	12.831419043190
3045.034675	12.830772257859
3045.186931	12.830125556131
3045.339194	12.829479678229
3045.491465	12.828834968904
3045.643743	12.828191419699
3045.796029	12.827548808512
3045.948323	12.826906843748
3046.100624	12.826265266288
3046.252933	12.825623889038
3046.405249	12.824982598296
3046.557573	12.824341332278
3046.709905	12.823700062094
3046.862244	12.823058774514
3047.014591	12.822417465252
3047.166946	12.821776132623
3047.319308	12.821134777266
3047.471678	12.820493398514
3047.624055	12.819851995078
3047.776440	12.819210562224
3047.928833	12.818569094042
3048.081233	12.817927582909
3048.233641	12.817286023774
3048.386056	12.816644414174
3048.538479	12.816002757002
3048.690910	12.815361057553
3048.843348	12.814719323430
3048.995794	12.814077560266
3049.148248	12.813435772309
3049.300709	12.812793960181
3049.453178	12.812152123601
3049.605655	12.811510260388
3049.758139	12.810868369372
3049.910630	12.810226448849
3050.063130	12.809584498730
3050.215637	12.808942518485
3050.368151	12.808300508968
3050.520673	12.807658470239
3050.673203	12.807016403285
3050.825741	12.806374307599
3050.978286	12.805732182159
3051.130839	12.805089962243
3051.283399	12.804446493705
3051.435967	12.803795207656
3051.588543	12.803126310262
3051.741126	12.802443025133
3051.893717	12.801755491724
3052.046315	12.801067491165
3052.198921	12.800379441595
3052.351535	12.799691359074
3052.504156	12.799003246330
3052.656786	12.798315103549
3052.809422	12.797626930915
3052.962066	12.796938727005
3053.114718	12.796250491606
3053.267378	12.795562224315
3053.420045	12.794873928089
3053.572720	12.794185610039
3053.725402	12.793497289667
3053.878092	12.792809007317
3054.030790	12.792120841289
3054.183496	12.791432920548
3054.336209	12.790745430281
3054.488929	12.790058584658
3054.641657	12.789372561280
3054.794393	12.788687393079
3054.947137	12.788002862215
3055.099888	12.787318450611
3055.252647	12.786633414321
3055.405413	12.785946981776
3055.558187	12.785258617112
3055.710969	12.784568220131
3055.863759	12.783876168034
3056.016556	12.783183168784
3056.169360	12.782490010518
3056.322172	12.781797320697
3056.474992	12.781105439274
3056.627820	12.780414419640
3056.780655	12.779724123131
3056.933498	12.779034331964
3057.086349	12.778344839340
3057.239207	12.777655490599
3057.392072	12.776966191903
3057.544946	12.776276894825
3057.697827	12.775587580417
3057.850716	12.774898242247
3058.003612	12.774208879489
3058.156516	12.773519490635
3058.309428	12.772830074623
3058.462347	12.772140628931
3058.615274	12.771451152363
3058.768208	12.770761643461
3058.921151	12.770072103850
3059.074101	12.769382539987
3059.227058	12.768692978008
3059.380023	12.768003498164
3059.532996	12.767314330520
3059.685977	12.766626062800
3059.838965	12.765940051119
3059.991960	12.765259085995
3060.144964	12.764588253709
3060.297975	12.763935628213
3060.450994	12.763312060716
3060.604020	12.762729118474
3060.757054	12.762194670796
3060.910096	12.761707012441
3061.063145	12.761250594916
3061.216202	12.760798696786
3061.369267	12.760330744145
3061.522339	12.759877636924
3061.675419	12.759618434177
3061.828507	12.760056152535
3061.981602	12.762343754562
3062.134705	12.768841581175
3062.287815	12.783819214479
3062.440934	12.814003468674
3062.594059	12.868373551652
3062.747193	12.956422453507
3062.900334	13.084443631988
3063.053483	13.250488521825
3063.206639	13.440108604052
3063.359804	13.625865665019
3063.512975	13.772684568284
3063.666155	13.848290620870
3063.819342	13.834647483244
3063.972537	13.734876070678
3064.125739	13.572040171808
3064.278949	13.380435743008
3064.432167	13.193876600241
3064.585393	13.036399010680
3064.738626	12.918630455865
3064.891867	12.839641648622
3065.045115	12.791727167542
3065.198371	12.765238108601
3065.351635	12.751748682672
3065.504906	12.745287709953
3065.658185	12.742239273830
3065.811472	12.740686529186
3065.964766	12.739727688031
3066.118068	12.738983060297
3066.271378	12.738308743168
3066.424696	12.737655444564
3066.578021	12.737007857843
3066.731353	12.736361663061
3066.884694	12.735715752150
3067.038042	12.735069867668
3067.191398	12.734423958978
3067.344761	12.733778019404
3067.498132	12.733132051173
3067.651511	12.732486055402
3067.804897	12.731840032851
3067.958291	12.731193982197
3068.111693	12.730547902717
3068.265102	12.729901792773
3068.418520	12.729255652227
3068.571944	12.728609481162
3068.725377	12.727963284681
3068.878817	12.727317081340
3069.032265	12.726670940012
3069.185720	12.726025081664
3069.339183	12.725380156995
3069.492654	12.724737891326
3069.646132	12.724102411047
3069.799619	12.723482550631
3069.953112	12.722895116232
3070.106614	12.722368136855
3070.260123	12.721941661911
3070.413640	12.721662408802
3070.567164	12.721569156008
3070.720697	12.721669756523
3070.874237	12.721917503648
3071.027784	12.722200558935
3071.181339	12.722357276589
3071.334902	12.722219496157
3071.488473	12.721669342887
3071.642051	12.720683748439
3071.795637	12.719345095621
3071.949231	12.717811293569
3072.102832	12.716254399240
3072.256441	12.714807013887
3072.410058	12.713541498850
3072.563682	12.712470803532
3072.717314	12.711566405910
3072.870954	12.710782618088
3073.024601	12.710075312315
3073.178256	12.709411065185
3073.331919	12.708768539384
3073.485589	12.708135889316
3073.639267	12.707507300177
3073.792953	12.706880219598
3073.946647	12.706253639080
3074.100348	12.705627196108
3074.254057	12.705000772363
3074.407773	12.704374331388
3074.561498	12.703747863696
3074.715229	12.703121366736
3074.868969	12.702494841943
3075.022716	12.701868291888
3075.176471	12.701241722685
3075.330234	12.700615142136
3075.484004	12.699988560910
3075.637782	12.699361987739
3075.791568	12.698735426584
3075.945362	12.698108869321
3076.099163	12.697482294546
3076.252971	12.696855667765
3076.406788	12.696228951807
3076.560612	12.695602117173
3076.714444	12.694975154764
3076.868284	12.694348077646
3077.022131	12.693720917751
3077.175986	12.693093712465
3077.329848	12.692466494626
3077.483719	12.691839283094
3077.637597	12.691212083749
3077.791483	12.690584891279
3077.945376	12.689957696647
3078.099277	12.689330489567
3078.253186	12.688703262893
3078.407102	12.688076011075
3078.561027	12.687448731595
3078.714959	12.686821422091
3078.868898	12.686194081717
3079.022845	12.685566708853
3079.176800	12.684939303140
3079.330763	12.684311863639
3079.484733	12.683684390982
3079.638712	12.683056885242
3079.792697	12.682429347782
3079.946691	12.681801778991
3080.100692	12.681174180412
3080.254701	12.680546553874
3080.408717	12.679918908383
3080.562742	12.679291274737
3080.716774	12.678663758893
3080.870813	12.678036681912
3081.024861	12.677410931117
3081.178916	12.676788711675
3081.332979	12.676174948600
3081.487049	12.675579442601
3081.641127	12.675019393912
3081.795213	12.674520929441
3081.949307	12.674117166652
3082.103408	12.673840081401
3082.257517	12.673705707170
3082.411634	12.673696513600
3082.565758	12.673748662069
3082.719891	12.673755057078
3082.874030	12.673590026483
3083.028178	12.673149142145
3083.182333	12.672387313787
3083.336496	12.671336271119
3083.490667	12.670092230180
3083.644845	12.668780250343
3083.799031	12.667513313434
3083.953225	12.666364154900
3084.107427	12.665358149784
3084.261636	12.664483725947
3084.415853	12.663710239837
3084.570078	12.663003877599
3084.724310	12.662336948348
3084.878550	12.661690703588
3085.032798	12.661054209222
3085.187053	12.660421857418
3085.341316	12.659791090028
3085.495587	12.659160859721
3085.649866	12.658530780910
3085.804152	12.657900724117
3085.958446	12.657270650670
3086.112748	12.656640549177
3086.267058	12.656010417337
3086.421375	12.655380253950
3086.575700	12.654750059368
3086.730033	12.654119833039
3086.884373	12.653489575456
3087.038721	12.652859286105
3087.193077	12.652228965487
3087.347440	12.651598613108
3087.501811	12.650968229459
3087.656190	12.650337814037
3087.810577	12.649707367347
3087.964971	12.649076888886
3088.119374	12.648446379148
3088.273783	12.647815837629
3088.428201	12.647185264839
3088.582626	12.646554660262
3088.737059	12.645924024413
3088.891500	12.645293356775
3089.045948	12.644662657858
3089.200405	12.644031927148
3089.354868	12.643401165154
3089.509340	12.642770371375
3089.663819	12.642139546304
3089.818306	12.641508689435
3089.972801	12.640877801279
3090.127304	12.640246881326
3090.281814	12.639615930076
3090.436332	12.638984947033
3090.590858	12.638353932703
3090.745391	12.637722886666
3090.899932	12.637091809730
3091.054481	12.636460702710
3091.209038	12.635829571030
3091.363602	12.635198430997
3091.518174	12.634567335298
3091.672754	12.633936430158
3091.827341	12.633306088949
3091.981936	12.632677169868
3092.136539	12.632051685468
3092.291150	12.631435832198
3092.445768	12.630844912119
3092.600395	12.630292131511
3092.755029	12.629776369404
3092.909670	12.629299836009
3093.064319	12.628886167186
3093.218977	12.628630779325
3093.373641	12.628895108886
3093.528314	12.630905911626
3093.682994	12.638386275595
3093.837682	12.661506010864
3093.992378	12.725304404519
3094.147081	12.885187251210
3094.301793	13.250589572144
3094.456512	14.012334599082
3094.611238	15.458640362313
3094.765973	17.953087798299
3094.920715	21.845601896389
3095.075465	27.308938609650
3095.230222	34.141347821125
3095.384988	41.631497086104
3095.539761	48.598998248232
3095.694542	53.666469226678
3095.849330	55.695529868929
3096.004127	54.201841201497
3096.158931	49.543023530437
3096.313743	42.779723528358
3096.468562	35.283639988165
3096.623390	28.289868391752
3096.778225	22.590781288525
3096.933067	18.460556456769
3097.087918	15.770619173789
3097.242776	14.185477825597
3097.397642	13.335979891672
3097.552516	12.920108810508
3097.707397	12.733241451148
3097.862287	12.655678469683
3098.017184	12.625618295295
3098.172088	12.614496123919
3098.327001	12.610358232639
3098.481921	12.608627642321
3098.636849	12.607682620538
3098.791785	12.606984609107
3098.946728	12.606363389695
3099.101679	12.605766702779
3099.256638	12.605178454802
3099.411605	12.604593417588
3099.566580	12.604009700517
3099.721562	12.603426532413
3099.876552	12.602843577452
3100.031549	12.602260688702
3100.186555	12.601677806085
3100.341568	12.601094905993
3100.496589	12.600511980950
3100.651618	12.599929028218
3100.806654	12.599346048045
3100.961698	12.598763040508
3101.116750	12.598180006791
3101.271810	12.597596946982
3101.426878	12.597013861438
3101.581953	12.596430748608
3101.737036	12.595847606854
3101.892126	12.595264433101
3102.047225	12.594681225775
3102.202331	12.594097984356
3102.357445	12.593514744627
3102.512567	12.592932357212
3102.667696	12.592357451096
3102.822834	12.591804877251
3102.977979	12.591276285141
3103.133131	12.590756996816
3103.288292	12.590238982222
3103.443460	12.589721018271
3103.598636	12.589203027984
3103.753820	12.588684997624
3103.909012	12.588166949118
3104.064211	12.587648971309
3104.219418	12.587131255061
3104.374633	12.586614109854
3104.529856	12.586097944730
3104.685086	12.585583179511
3104.840324	12.585070081344
3104.995570	12.584558551544
3105.150824	12.584047959041
3105.306085	12.583537134522
3105.461354	12.583024611112
3105.616631	12.582509064687
3105.771916	12.581989785651
3105.927208	12.581466948094
3106.082509	12.580941541863
3106.237817	12.580414997438
3106.393132	12.579888702322
3106.548456	12.579363624791
3106.703787	12.578840179835
3106.859126	12.578318319938
3107.014473	12.577797767606
3107.169828	12.577278346015
3107.325190	12.576760653907
3107.480560	12.576248115938
3107.635938	12.575753598573
3107.791324	12.575318996621
3107.946717	12.575067036612
3108.102119	12.575322339301
3108.257528	12.576857929942
3108.412944	12.581322194851
3108.568369	12.591836280762
3108.723801	12.613578716611
3108.879241	12.653901369529
3109.034689	12.721302224044
3109.190145	12.822703747653
3109.345608	12.959236641255
3109.501079	13.121982265397
3109.656558	13.290190261864
3109.812045	13.434262778485
3109.967539	13.523781265777
3110.123042	13.537836733806
3110.278552	13.472907193184
3110.434070	13.344239557117
3110.589595	13.179991565336
3110.745129	13.011208620580
3110.900670	12.862487720937
3111.056219	12.747038345846
3111.211775	12.666936116201
3111.367340	12.616805346795
3111.522912	12.588296924753
3111.678492	12.573436651613
3111.834080	12.566227255072
3111.989675	12.562861154718
3112.145279	12.561235290777
3112.300890	12.560322558897
3112.456509	12.559675080968
3112.612136	12.559117330567
3112.767770	12.558586200191
3112.923412	12.558044785785
3113.079063	12.557400068382
3113.234720	12.556538532817
3113.390386	12.555514874945
3113.546059	12.554447793215
3113.701741	12.553376660418
3113.857430	12.552305366676
3114.013126	12.551234018985
3114.168831	12.550162617216
3114.324543	12.549091159114
3114.480263	12.548019644735
3114.635991	12.546948075625
3114.791727	12.545876465424
3114.947470	12.544804855450
3115.103222	12.543733368450
3115.258981	12.542662326662
3115.414748	12.541592513610
3115.570522	12.540525641237
3115.726305	12.539465057428
3115.882095	12.538416522794
3116.037893	12.537388593209
3116.193699	12.536391794241
3116.349512	12.535435799910
3116.505334	12.534524523285
3116.661163	12.533650515429
3116.817000	12.532791576294
3116.972844	12.531912774407
3117.128697	12.530975121801
3117.284557	12.529948584298
3117.440425	12.528824094760
3117.596301	12.527619382102
3117.752185	12.526377091051
3117.908077	12.525158600433
3118.063976	12.524039134142
3118.219883	12.523106953178
3118.375798	12.522462609148
3118.531721	12.522208120114
3118.687651	12.522416422171
3118.843589	12.523081986589
3118.999535	12.524071253530
3119.155489	12.525105229846
3119.311451	12.525802641430
3119.467420	12.525784652693
3119.623398	12.524803942624
3119.779383	12.522837736163
3119.935376	12.520096379208
3120.091376	12.516942750774
3120.247385	12.513764334078
3120.403401	12.510859284747
3120.559425	12.508380283545
3120.715457	12.506342810877
3120.871497	12.504673700991
3121.027544	12.503266945673
3121.183599	12.502023946066
3121.339662	12.500871797856
3121.495733	12.499764829988
3121.651812	12.498678106085
3121.807899	12.497599573381
3121.963993	12.496524028397
3122.120095	12.495449449796
3122.276205	12.494375130127
3122.432323	12.493300843559
3122.588448	12.492226526062
3122.744581	12.491152159702
3122.900723	12.490077741269
3123.056871	12.489003308367
3123.213028	12.487930470875
3123.369193	12.486877163372
3123.525365	12.485903616504
3123.681545	12.485046392784
3123.837733	12.484250551261
3123.993929	12.483466179573
3124.150133	12.482682498605
3124.306344	12.481898792943
3124.462563	12.481115051982
3124.618790	12.480331273239
3124.775025	12.479547454298
3124.931268	12.478763590921
3125.087518	12.477979680783
3125.243777	12.477195721973
3125.400043	12.476411716043
3125.556317	12.475627665118
3125.712598	12.474843573389
3125.868888	12.474059443442
3126.025185	12.473275277983
3126.181490	12.472491077102
3126.337803	12.471706841131
3126.494124	12.470922568593
3126.650453	12.470138259215
3126.806789	12.469353911659
3126.963133	12.468569526069
3127.119486	12.467785101525
3127.275845	12.467000638451
3127.432213	12.466216135959
3127.588589	12.465431594423
3127.744972	12.464647012915
3127.901363	12.463862391889
3128.057762	12.463077730664
3128.214169	12.462293030056
3128.370584	12.461508289894
3128.527006	12.460723511759
3128.683436	12.459938697108
3128.839874	12.459153852053
3128.996320	12.458368991022
3129.152774	12.457584155958
3129.309236	12.456799453162
3129.465705	12.456015139343
3129.622182	12.455231771296
3129.778667	12.454450438113
3129.935160	12.453673020486
3130.091661	12.452902343534
3130.248169	12.452141970915
3130.404685	12.451395405501
3130.561210	12.450664651444
3130.717742	12.449948529851
3130.874281	12.449241543513
3131.030829	12.448534159620
3131.187384	12.447814822382
3131.343948	12.447073088970
3131.500519	12.446302545783
3131.657098	12.445502254536
3131.813685	12.444676299701
3131.970279	12.443832025549
3132.126882	12.442977961312
3132.283492	12.442122185833
3132.440110	12.441271299681
3132.596736	12.440429868056
3132.753370	12.439600198748
3132.910011	12.438782476494
3133.066661	12.437975256639
3133.223318	12.437176201883
3133.379983	12.436382814659
3133.536656	12.435593181174
3133.693337	12.434810954604
3133.850025	12.434071841598
3134.006722	12.433447449891
3134.163426	12.432935062254
3134.320138	12.432462176890
3134.476858	12.431994163026
3134.633586	12.431526359855
3134.790321	12.431058695371
3134.947065	12.430591679292
3135.103816	12.430127237830
3135.260575	12.429671957261
3135.417342	12.429246291839
3135.574117	12.428907781639
3135.730899	12.428802573126
3135.887690	12.429264302023
3136.044488	12.430973042965
3136.201294	12.435154441019
3136.358108	12.443729475312
3136.514930	12.459237484276
3136.671760	12.484314725812
3136.828597	12.520622926054
3136.985443	12.567435496930
3137.142296	12.620504486588
3137.299157	12.672044017572
3137.456026	12.712373577469
3137.612902	12.732931925410
3137.769787	12.729442624275
3137.926679	12.703657807247
3138.083580	12.662702723838
3138.240488	12.616304095520
3138.397404	12.573287688273
3138.554328	12.538990573122
3138.711259	12.514558758773
3138.868199	12.498028322935
3139.025146	12.486286753500
3139.182101	12.476838752160
3139.339064	12.468677841160
3139.496035	12.462149614000
3139.653014	12.458157885081
3139.810000	12.457248170629
3139.966995	12.459022313011
3140.123997	12.462105114075
3140.281007	12.464620364135
3140.438025	12.464926445078
3140.595051	12.462272099124
3140.752085	12.457089106964
3140.909126	12.450814354164
3141.066176	12.445341474582
3141.223233	12.442335595312
3141.380298	12.442657579110
3141.537371	12.446069115245
3141.694452	12.451291653855
3141.851540	12.456402083249
3142.008637	12.459455106558
3142.165741	12.459132454505
3142.322853	12.455181347087
3142.479973	12.448474766838
3142.637101	12.440692111518
3142.794237	12.433781796370
3142.951381	12.429424618150
3143.108532	12.428646540285
3143.265692	12.431614797138
3143.422859	12.437593399276
3143.580034	12.445057061630
3143.737217	12.451999554082
3143.894408	12.456435150168
3144.051606	12.456976115006
3144.208813	12.453264470719
3144.366027	12.446054164111
3144.523249	12.436924454914
3144.680480	12.427784426639
3144.837718	12.420358618363
3144.994963	12.415875848547
3145.152217	12.415002626386
3145.309479	12.417871090109
3145.466748	12.424069607527
3145.624025	12.432580842469
3145.781310	12.441781104133
3145.938603	12.449652989272
3146.095904	12.454256667364
3146.253213	12.454317839008
3146.410530	12.449660585638
3146.567854	12.441253077579
3146.725186	12.430835000189
3146.882527	12.420320988621
3147.039875	12.411274955995
3147.197231	12.404668635524
3147.354594	12.400949661152
3147.511966	12.400276220649
3147.669346	12.402713851009
3147.826733	12.408246290560
3147.984128	12.416581592689
3148.141531	12.426877697916
3148.298942	12.437598735300
3148.456361	12.446687696492
3148.613788	12.452085039332
3148.771223	12.452407700089
3148.928665	12.447465098738
3149.086115	12.438338879493
3149.243574	12.426979245641
3149.401040	12.415524315853
3149.558514	12.405667815650
3149.715996	12.398323674774
3149.873485	12.393648404120
3150.030983	12.391317318266
3150.188489	12.390887071992
3150.346002	12.392099814749
3150.503523	12.395032626878
3150.661052	12.400037646362
3150.818589	12.407466466030
3150.976134	12.417255954239
3151.133687	12.428555478437
3151.291247	12.439628893561
3151.448816	12.448186703056
3151.606392	12.452091659579
3151.763977	12.450143887593
3151.921569	12.442556844928
3152.079169	12.430875862023
3152.236777	12.417388240544
3152.394392	12.404335485208
3152.552016	12.393295315601
3152.709648	12.384948452420
3152.867287	12.379213329829
3153.024934	12.375576119675
3153.182590	12.373427423483
3153.340253	12.372298258543
3153.497924	12.371983195302
3153.655602	12.372586418192
3153.813289	12.374517237410
3153.970984	12.378420159311
3154.128686	12.384993897270
3154.286397	12.394671919232
3154.444115	12.407220838588
3154.601841	12.421426019908
3154.759575	12.435095990175
3154.917317	12.445526724968
3155.075067	12.450307929934
3155.232824	12.448171836062
3155.390590	12.439506196660
3155.548364	12.426205848632
